x,y,z
-3.214609,101.800001,-6.040584
-9.783718,77.100003,-6.038642
-4.043806,101.700008,-6.034337
-18.506503,112.200010,-6.032618
-10.340325,106.600010,-6.030264
-4.316978,101.600003,-6.028283
-13.911633,112.000000,-6.027451
-9.460603,106.500006,-6.025387
56.516552,227.500010,-6.023775
-1.770634,85.700005,-6.020236
-3.961184,74.200004,-6.020091
-9.161913,106.400001,-6.019974
-8.863737,106.300008,-6.014556
-9.732334,106.300008,-6.013818
-9.572467,82.500005,-6.013678
-2.922434,101.300001,-6.011004
-8.276709,106.200004,-6.009354
-8.566069,106.200004,-6.009129
-10.012370,106.200004,-6.007902
-7.979798,106.100011,-6.003913
-1.594243,88.900006,-6.002711
0.715524,76.500005,-5.999709
-1.531426,85.400003,-5.999218
-1.852296,79.200006,-5.995353
-7.676152,105.900002,-5.992805
-5.955349,79.200006,-5.992695
-13.522066,111.300004,-5.990107
-1.917849,82.000005,-5.983795
-7.373567,105.700004,-5.981690
-1.907121,92.300004,-5.980559
-6.215060,105.599999,-5.976764
1.128515,76.200002,-5.976111
-5.937156,76.200002,-5.973084
-2.250259,96.200007,-5.970869
-6.490666,105.400002,-5.965273
-7.065341,105.400002,-5.964907
-5.910277,105.300009,-5.959950
-6.771586,105.300009,-5.959434
-2.622526,100.400007,-5.957679
-9.850667,76.000005,-5.952157
-11.910973,105.100000,-5.943696
-11.610755,110.400009,-5.943498
-11.911190,110.400009,-5.943209
-5.607107,105.000007,-5.943127
-11.300033,110.300004,-5.938397
-12.470824,105.000007,-5.937421
0.484260,73.100001,-5.932297
-18.520363,116.100001,-5.927081
-18.835302,116.100001,-5.926685
-5.305550,104.700005,-5.926295
-62.813812,99.800003,-5.923851
-3.303120,104.600000,-5.921462
-3.588506,104.600000,-5.921367
-5.015198,104.600000,-5.920776
-13.064997,110.000002,-5.920460
-18.174003,115.900004,-5.917262
-10.959897,109.900010,-5.917137
-3.870174,104.500008,-5.915604
-1.331903,87.600005,-5.914980
-12.145217,109.800005,-5.910614
-4.151281,104.400003,-5.909832
-4.436075,104.400003,-5.909714
-4.720851,104.400003,-5.909588
-9.052299,72.900003,-5.908439
-9.646613,72.900003,-5.907460
-17.828676,115.700006,-5.907437
-61.760193,99.500006,-5.901268
-3.006182,104.200006,-5.898905
-16.857262,115.500009,-5.898353
-17.170848,115.500009,-5.897981
-17.484380,115.500009,-5.897605
-1.962969,95.000005,-5.896451
-19.051223,115.500009,-5.895659
-1.275604,83.900005,-5.893892
-2.322841,99.300003,-5.892477
-1.630161,90.900004,-5.889902
-16.514975,115.300000,-5.888504
-10.602498,109.300005,-5.885100
-26.707208,121.900010,-5.881877
-9.700698,109.200001,-5.880477
-1.448057,70.100003,-5.879663
-8.805551,72.500002,-5.876334
-9.097447,109.100008,-5.875567
-9.394649,109.100008,-5.875333
0.496203,74.900001,-5.874247
-16.159673,115.000010,-5.873543
-9.979790,109.000003,-5.869460
-2.043615,98.900002,-5.868803
-8.487356,108.900011,-5.865243
-8.784080,108.900011,-5.865023
-2.706189,103.600001,-5.865017
-10.267185,108.900011,-5.863823
-15.819727,114.800000,-5.863683
-12.341937,108.900011,-5.861869
-3.731483,69.900006,-5.861654
-61.611426,98.800004,-5.861298
-15.494324,114.700007,-5.858924
-12.022784,103.600001,-5.858564
-8.175558,108.700001,-5.854683
-1.081643,86.700004,-5.854249
-15.169413,114.600003,-5.854158
-9.073071,74.700004,-5.851301
-12.614952,108.700001,-5.850800
-1.766563,98.500007,-5.845122
-7.569093,108.500004,-5.844314
-7.864819,108.500004,-5.844115
-5.173861,77.200001,-5.841947
-14.819069,114.300001,-5.839171
-26.836976,121.000004,-5.837999
-27.741489,128.200006,-5.837809
-1.685807,94.000006,-5.834439
-14.495692,114.200008,-5.834394
-14.172807,114.100003,-5.829610
-7.253227,108.200002,-5.828344
-18.173669,108.400011,-5.827909
-27.118963,120.800006,-5.827897
-1.493208,98.200005,-5.827367
-2.407121,102.900004,-5.825458
-1.366917,89.900005,-5.825153
-13.850421,114.000010,-5.824820
-6.362366,108.100009,-5.823485
-6.951832,108.100009,-5.823141
-24.093735,114.200008,-5.822111
-3.587205,67.200005,-5.818295
-6.650953,108.000004,-5.817929
-1.646612,79.700005,-5.816019
0.620878,93.700004,-5.815963
-62.187815,97.900003,-5.814380
-27.377099,120.500004,-5.812972
59.445292,244.600010,-5.812905
-40.164730,114.400005,-5.810517
-62.409741,97.800004,-5.810147
-42.737043,120.800006,-5.807989
-6.050757,107.800007,-5.807484
-61.446720,102.800000,-5.805386
-13.492896,113.600004,-5.804695
0.364394,93.500006,-5.803563
-1.421699,93.500006,-5.803451
-2.118064,102.500010,-5.802877
-7.872856,86.000001,-5.802836
-59.920615,97.900003,-5.801979
-24.316995,113.800001,-5.801274
-26.009914,120.200002,-5.800297
-0.837265,85.900003,-5.800261
-26.514280,127.300000,-5.798161
-5.159176,107.600009,-5.797148
-5.746102,107.600009,-5.796863
-1.029211,82.500005,-5.795582
-42.306706,120.500004,-5.793879
-19.029111,113.500011,-5.793175
0.592367,89.400005,-5.792853
-3.981387,107.500005,-5.792238
-1.217741,97.600007,-5.791802
-5.447582,107.500005,-5.791621
-16.395786,97.800004,-5.790353
-34.115595,120.200002,-5.789073
-43.243477,120.400012,-5.788155
-4.270685,107.400000,-5.786742
-4.563670,107.400000,-5.786625
-1.114116,89.300007,-5.786315
-1.832973,102.200007,-5.785947
-1.379833,66.800004,-5.784877
-25.786293,113.500011,-5.783748
-27.564591,119.900000,-5.783577
-62.318408,102.300000,-5.782403
-3.681234,107.300007,-5.781563
-4.852116,107.300007,-5.781115
-1.552554,102.100003,-5.780332
-33.735675,120.000005,-5.779875
-41.877991,120.200002,-5.779774
-48.392150,120.300007,-5.779753
-13.125895,113.100004,-5.779452
-34.381956,120.000005,-5.779007
-1.470838,71.200001,-5.777911
-61.523235,97.300005,-5.777084
-48.027739,120.200002,-5.775100
-1.272675,102.000010,-5.774710
-3.382159,107.100010,-5.770879
-12.181211,112.900007,-5.770113
-61.903816,102.100003,-5.769740
-12.795570,112.900007,-5.769531
-5.733256,71.100003,-5.766777
-23.555845,113.100004,-5.766470
-11.863448,112.800002,-5.765283
-12.477352,112.800002,-5.764715
-1.518409,73.500001,-5.764254
-34.618279,119.700003,-5.764131
-61.759168,107.400000,-5.763631
-0.992362,101.800001,-5.763418
-1.572179,76.100004,-5.760747
-11.546188,112.700009,-5.760447
0.831649,88.900006,-5.760431
-1.157818,92.800003,-5.760042
-8.951505,79.000002,-5.758846
-25.367472,113.000000,-5.758716
-12.565947,76.200002,-5.755799
-48.837450,119.800007,-5.755461
0.867225,92.700005,-5.753870
-25.471330,119.200003,-5.752484
-24.408209,112.800002,-5.749855
-3.078390,106.700003,-5.749410
-43.599862,119.600010,-5.749125
-40.961832,113.200009,-5.748374
-62.768853,101.600003,-5.747081
-0.712435,101.500010,-5.746458
-0.797276,81.800002,-5.746438
-23.731026,107.000005,-5.744188
-36.556420,126.400006,-5.743821
0.108066,92.500007,-5.741501
-11.199510,112.300003,-5.740269
-60.926586,107.000005,-5.740193
-61.309797,101.600003,-5.740165
-60.189086,112.900007,-5.739539
-24.669231,112.600005,-5.739218
-17.033239,101.600003,-5.738837
0.376877,96.700007,-5.738465
-1.409437,78.600001,-5.735801
-61.170447,106.900001,-5.735799
-42.527372,119.300008,-5.735568
-29.307649,126.000011,-5.734951
